date,day,time,stadium,home,away,cancelled,reason,note,stadium_id
2022-05-05,목,14:00,잠실,4LG,두산9,False,정상진행,-,
2022-05-10,화,18:30,잠실,9LG,한화1,False,정상진행,-,
2022-05-11,수,18:30,잠실,5LG,한화2,False,정상진행,-,
2022-05-12,목,18:30,잠실,11LG,한화7,False,정상진행,-,
2022-05-20,금,18:30,잠실,0두산,롯데4,False,정상진행,-,
2022-05-21,토,14:00,잠실,12두산,롯데4,False,정상진행,-,
2022-05-22,일,14:00,잠실,4두산,롯데5,False,정상진행,-,
2022-05-27,금,18:30,잠실,5LG,삼성0,False,정상진행,-,
2022-05-29,일,14:00,잠실,4LG,삼성8,False,정상진행,-,
2022-06-07,화,18:30,잠실,3두산,한화1,False,정상진행,-,
2022-06-08,수,18:30,잠실,1두산,한화5,False,정상진행,-,
2022-06-09,목,18:30,잠실,16두산,한화7,False,정상진행,-,
2022-06-10,금,18:30,잠실,10LG,두산7,False,정상진행,-,
2022-06-11,토,17:00,잠실,4LG,두산5,False,정상진행,-,
2022-06-12,일,17:00,잠실,9LG,두산6,False,정상진행,-,
2022-06-17,금,18:30,잠실,2두산,KT4,False,정상진행,-,
2022-06-21,화,18:30,잠실,10LG,한화4,False,정상진행,-,
2022-06-22,수,18:30,잠실,6LG,한화5,False,정상진행,-,
2022-06-23,목,18:30,잠실,LG,한화,True,우천취소,우천취소,
2022-07-01,금,18:30,잠실,2LG,롯데1,False,정상진행,-,
2022-07-08,금,18:30,잠실,4두산,LG11,False,정상진행,-,
2022-07-12,화,18:30,잠실,1LG,KIA7,False,정상진행,-,
2022-07-13,수,18:30,잠실,LG,KIA,True,우천취소,우천취소,
2022-07-14,목,18:30,잠실,6LG,KIA2,False,정상진행,-,
2022-07-26,화,18:30,잠실,6두산,롯데1,False,정상진행,-,
2022-07-27,수,18:30,잠실,6두산,롯데5,False,정상진행,-,
2022-07-28,목,18:30,잠실,8두산,롯데5,False,정상진행,-,
2022-08-05,금,18:30,잠실,7LG,키움8,False,정상진행,-,
2022-08-06,토,18:00,잠실,12LG,키움3,False,정상진행,-,
2022-08-07,일,17:00,잠실,5LG,키움0,False,정상진행,-,
2022-08-16,화,18:30,잠실,6LG,삼성3,False,정상진행,-,
2022-08-17,수,18:30,잠실,11LG,삼성7,False,정상진행,-,
2022-08-27,토,18:00,잠실,1LG,키움0,False,정상진행,-,
2022-08-28,일,17:00,잠실,7LG,키움0,False,정상진행,-,
2022-09-01,목,18:30,잠실,2두산,롯데1,False,정상진행,-,
2022-09-02,금,18:30,잠실,4두산,롯데16,False,정상진행,-,
2022-09-06,화,18:30,잠실,6LG,SSG8,False,정상진행,-,
2022-09-07,수,18:30,잠실,2LG,SSG2,False,정상진행,-,
2022-09-08,목,18:30,잠실,4두산,한화5,False,정상진행,-,
2022-09-09,금,14:00,잠실,11두산,한화0,False,정상진행,-,
2022-09-10,토,14:00,잠실,0두산,KIA3,False,정상진행,-,
2022-09-15,목,18:30,잠실,2LG,KT0,False,정상진행,-,
2022-09-16,금,18:30,잠실,LG,KT,True,우천취소,우천취소,
2022-09-17,토,17:00,잠실,4LG,한화1,False,정상진행,-,
2022-09-18,일,14:00,잠실,1LG,한화5,False,정상진행,-,
2022-09-22,목,18:30,잠실,1LG,롯데7,False,정상진행,-,
2022-09-23,금,18:30,잠실,1LG,롯데0,False,정상진행,-,
2022-09-24,토,17:00,잠실,0LG,한화2,False,정상진행,-,
2022-09-25,일,14:00,잠실,5두산,한화3,False,정상진행,-,
2022-10-01,토,17:00,잠실,1LG,NC2,False,정상진행,-,
2022-10-04,화,18:30,잠실,3LG,KIA8,False,정상진행,-,
2022-10-05,수,18:30,잠실,5두산,SSG2,False,정상진행,-,
2022-10-07,금,18:30,잠실,2두산,삼성8,False,정상진행,-,
2022-10-08,토,17:00,잠실,1두산,키움5,False,정상진행,-,
2022-10-09,일,14:00,잠실,LG,KT,True,우천취소,우천취소,
2022-10-11,화,18:30,잠실,6LG,KT5,False,정상진행,-,
2023-04-01,토,14:00,잠실,12두산,롯데10,False,정상진행,-,
2023-04-02,일,14:00,잠실,0두산,롯데2,False,정상진행,-,
